Organism,Morphology,Gram Nature,Optimal Media,Optimal Media Composition (per 100ml),Differential Media,Differential Media Composition,Biochemical Test,Origin/Source,Optimal Growth Temperature (°C),Optimal Growth pH,Optimal Growth Aerobic Conditions
Pseudomonas putida,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Mg sulfate 0.15 g, K phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Proteose peptone 20.0 g, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate heptahydrate 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent UV 254nm","Environmental organism, toluene degrader, bioremediator","25,28,30,37","6.5,7,7.5",Aerobe
Acinetobacter johnsonii,"Coccobacillus, gram negative, 0.5-0.8 μm, non-motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative coccobacillus, Oxidase variable, Catalase positive, Non-motile","Environmental organism, opportunistic pathogen, biofilm former","25,28,30,37","6.5,7,7.5",Aerobe
Flavobacterium johnsoniae,"Rod-shaped, gram negative, 0.3-0.5 μm, gliding motility",Gram negative,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Catalase positive, Gliding motility, Produces cellulases","Environmental organism, cellulose degrader, aquatic","20,25,30","6.5,7,7.5",Aerobe
Limnohabitans planktonicus,"Rod-shaped, gram negative, 0.3-0.5 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase variable, Catalase positive, Motile","Aquatic organism, freshwater lakes","15,20,25,30","6.5,7,7.5",Aerobe
Rhodoferax ferrireducens,"Rod-shaped, gram negative, 0.5-0.8 μm, motile",Gram negative,Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,Defined medium with ferric iron,"Gram negative rod, Oxidase variable, Catalase positive, Motile, Iron reducer","Environmental organism, iron-reducing bacterium, aquatic","20,25,30,37","6.5,7,7.5",Aerobe
Aeromonas hydrophila,"Rod-shaped, gram negative, 0.3-1.0 μm, motile polar flagella",Gram negative,Nutrient Agar or Blood Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Hemolytic","Environmental organism, aquatic, opportunistic pathogen, fish pathogen","25,28,30,37","6.5,7,7.5",Facultative anaerobe
Bdellovibrio bacteriovorus,"Curved rod-shaped, gram negative, 0.3-0.5 μm, motile",Gram negative,Nutrient Agar with prey bacteria,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g + enriched with prey E. coli",Blood Agar with prey,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml + enriched with prey","Gram negative curved rod, Oxidase positive, Catalase positive, Motile, Predatory","Environmental organism, aquatic, bacteriophage-like predator","20,25,30,37","6.5,7,7.5",Aerobe
Methylobacterium aquaticum,"Rod-shaped, gram negative, 0.5-1.0 μm, motile",Gram negative,Nutrient Agar or Mineral Methanol Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g or Methanol 5.0 g, Ammonium sulfate 0.5 g, Phosphate buffer, Agar 1.5 g",Selective medium,Methanol minimal medium or selective agar,"Gram negative rod, Oxidase positive, Catalase positive, Motile, Methanol utilizer, Pink pigment","Aquatic organism, methanol utilizer, freshwater lakes","20,25,30","6.5,7,7.5",Aerobe
Novosphingobium aromaticivorans,"Rod-shaped, gram negative, 0.5-1.0 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Aromatic compound degrader","Environmental organism, aromatic compound degrader","25,28,30,37","6.5,7,7.5",Aerobe
Sphingomonas paucimobilis,"Rod-shaped, gram negative, 0.3-0.8 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow pigment","Environmental organism, plant rhizosphere, biofilm former","25,28,30,37","6.5,7,7.5",Aerobe
Polynucleobacter necessarius,"Rod-shaped, gram negative, 0.3-0.5 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase variable, Catalase positive, Motile","Aquatic organism, freshwater lakes, obligate intracellular","10,15,20,25,30","6.5,7,7.5",Aerobe
Novosphingobium sp.,"Rod-shaped, gram negative, 0.5-1.0 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile","Environmental organism, soil and water","25,28,30,37","6.5,7,7.5",Aerobe
Acidovorax ebreus,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or King B,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Proteose peptone 2.0 g, Glycerol 1.0 ml, Dipotassium hydrogen phosphate 0.15 g, Magnesium sulfate 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile","Environmental organism, aquatic, plant-associated","25,28,30,37","6.5,7,7.5",Aerobe
Limnohabitans curvus,"Curved rod-shaped, gram negative, 0.3-0.5 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative curved rod, Oxidase variable, Catalase positive, Motile","Aquatic organism, freshwater lakes","10,15,20,25,30","6.5,7,7.5",Aerobe
Pseudomonas fluorescens,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Mg sulfate 0.15 g, K phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Gelatin peptone 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 1.0 g, Cetrimide 0.03 g, Glycerol 1.0 ml, Agar 1.36 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Fluorescent UV 254nm","Environmental organism, plant rhizosphere, biocontrol agent","25,28,30,37","6.5,7,7.5",Aerobe
Aquaspirillum hirae,"Spiral/curved rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative spiral rod, Oxidase positive, Catalase positive, Motile","Aquatic organism, freshwater environments","15,20,25,30","6.5,7,7.5",Aerobe
Rhodobacter sphaeroides,"Rod-shaped, gram negative, 0.5-1.0 μm, motile polar flagella",Gram negative,Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Photosynthetic, Purple pigment","Environmental organism, aquatic, photosynthetic bacterium","25,28,30,37","6.5,7,7.5",Aerobe
Bacillus subtilis,"Rod-shaped, spore-forming, gram positive, 0.5-0.8 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Non-hemolytic","Environmental organism, biofilm former, biocontrol agent, model organism","25,30,37","6.5,7,7.5",Facultative anaerobe
Comamonas testosteroni,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Minimal Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Steroid degrader","Environmental organism, water-associated, steroid degrader","25,28,30,37","6.5,7,7.5",Aerobe
Variovorax paradoxus,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Selective medium,"Nutrient Agar Base 3.6 g, Sodium Chloride 0.5 g, Distilled Water 100 ml, Selective Antibiotics","Gram negative rod, Oxidase positive, Catalase positive, Motile, Versatile metabolizer","Environmental organism, aromatic compound degrader, bioremediator","25,28,30,37","6.5,7,7.5",Aerobe
Sphingobium yanoikuyae,"Rod-shaped, gram negative, 0.5-0.8 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Aromatic compound degrader","Environmental organism, soil bacterium, aromatic degrader","25,28,30,37","6.5,7,7.5",Aerobe
Pseudomonas stutzeri,"Rod-shaped, gram negative, 0.5-0.8 μm, motile polar flagella",Gram negative,King B Medium or Nutrient Agar,"Proteose peptone 2.0 g, Mg sulfate 0.15 g, K phosphate 1.5 g, Glycerol 1.0 ml, Agar 1.5 g",Selective Pseudomonas medium,"Proteose peptone 20.0 g, Dipotassium hydrogen phosphate 1.5 g, Magnesium sulfate heptahydrate 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fluorescent, Denitrifier","Environmental organism, bioremediator, nitrogen cycle","25,28,30,37","6.5,7,7.5",Aerobe
Novosphingobium stygium,"Rod-shaped, gram negative, 0.5-1.0 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile","Environmental organism, water-associated","20,25,30,37","6.5,7,7.5",Aerobe
Polynucleobacter asymbioticus,"Rod-shaped, gram negative, 0.3-0.5 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase variable, Catalase positive, Motile","Aquatic organism, freshwater lakes","10,15,20,25,30","6.5,7,7.5",Aerobe
Caulobacter crescentus,"Rod-shaped, gram negative, 0.4-0.7 μm, motile prosthecate",Gram negative,Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Stalked bacterium, Oligotrophic","Environmental organism, aquatic, model organism","20,25,30,37","6.5,7,7.5",Aerobe
Hyphomicrobium vulgare,"Rod-shaped with prosthecae, gram negative, 0.4-0.7 μm",Gram negative,Nutrient Agar or Mineral Methanol Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g or Methanol 5.0 g, Ammonium sulfate 0.5 g, Phosphate buffer, Agar 1.5 g",Selective medium,Mineral methanol medium selective agar,"Gram negative rod with prosthecae, Oxidase positive, Catalase positive, Budding reproduction, Methanol utilizer","Environmental organism, aquatic, methanol utilizer","20,25,30,37","6.5,7,7.5",Aerobe
Sphingomonas wittichii,"Rod-shaped, gram negative, 0.3-0.8 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Aromatic compound degrader","Environmental organism, soil bacterium, aromatic degrader, PAH degrader","25,28,30,37","6.5,7,7.5",Aerobe
Azospirillum brasilense,"Rod-shaped, gram negative, 0.7-0.9 μm, motile polar flagella",Gram negative,Semi-solid NFb Medium,"Malic acid 5.0 g, K2HPO4 0.5 g, MgSO4 0.2 g, NaCl 0.1 g, CaCO3 5.0 g, Agar 1.5 g",NFb semi-solid medium,"DL-malic acid 0.5 g, KOH 0.4 g, K2HPO4 0.05 g, MgSO4·7H2O 0.01 g, NaCl 0.002 g, CaCl2 0.001 g, Na2MoO4 0.0002 g, FeSO4·7H2O 0.005 g, Bromothymol blue 0.002 ml (0.5% solution), Agar 0.175 g","Gram negative rod, Motile, Diazotroph, Aerotactic, Nitrogen-fixing","Plant rhizosphere colonizer, nitrogen-fixing PGPR","25,30,37","6.8,7,7.2",Aerobe/microaerophile
Bacillus megaterium,"Rod-shaped, spore-forming, gram positive, 0.8-1.2 μm",Gram positive,Nutrient Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive rod with spores, Catalase positive, Motile, Non-hemolytic","Environmental organism, protease producer, PGPR","20,25,30,37","6.5,7,7.5",Facultative anaerobe
Planctomyces limnophilus,"Pleomorphic, gram negative, 0.3-1.0 μm, motile",Gram negative (non-standard),Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative pleomorphic, Oxidase variable, Catalase variable, Motile, No peptidoglycan","Aquatic organism, freshwater lakes, planctomycete","15,20,25,30","6.5,7,7.5",Aerobe
Silicibacter pomeroyi,"Rod-shaped, gram negative, 0.5-0.8 μm, motile",Gram negative,Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile","Marine organism, seawater bacterium","20,25,30,37","7,7.2,7.5",Aerobe
Novosphingobium resinovorum,"Rod-shaped, gram negative, 0.5-1.0 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Aromatic degrader","Environmental organism, soil bacterium, resin compound degrader","25,28,30,37","6.5,7,7.5",Aerobe
Hyphomicrobium aestuarii,"Rod-shaped with prosthecae, gram negative, 0.4-0.7 μm",Gram negative,Nutrient Agar or Mineral Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod with prosthecae, Oxidase positive, Catalase positive, Budding reproduction","Environmental organism, estuarine bacterium, salt-tolerant","20,25,30","6.5,7,7.5",Aerobe
Gemmata obscuriglobus,"Pleomorphic, gram negative, 0.3-0.8 μm",Gram negative (non-standard),Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative pleomorphic, Oxidase variable, Catalase variable, Non-motile, Planctomycete","Environmental organism, soil bacterium, planctomycete","15,20,25,30","6.5,7,7.5",Aerobe
Sporichthya polymorpha,"Rod-shaped, branching, gram positive, 0.3-0.8 μm, partially acid-fast",Gram positive,Starch Casein Agar or Nutrient Agar,"Starch 10.0 g, Casein 0.3 g, Potassium phosphate 0.2 g, Magnesium sulfate 0.05 g, Sodium chloride 0.02 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive branching rod, Catalase positive, Non-motile, Slow growing, Polymorphic","Environmental organism, soil actinomycete","25,28,30,37","6.5,7,7.5",Aerobe
Polynucleobacter acidiphobus,"Rod-shaped, gram negative, 0.3-0.5 μm, motile",Gram negative,Nutrient Agar or Tryptic Soy Agar,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase variable, Catalase positive, Motile, Acidophilic","Aquatic organism, freshwater lakes, acid-loving","10,15,20,25,30","4.5,5,5.5",Aerobe
Caulobacter henricii,"Rod-shaped, gram negative, 0.4-0.7 μm, motile prosthecate",Gram negative,Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Stalked bacterium","Environmental organism, aquatic, oligotrophic","20,25,30,37","6.5,7,7.5",Aerobe
Hydrogenophaga flava,"Rod-shaped, gram negative, 0.4-0.8 μm, motile polar flagella",Gram negative,Nutrient Agar or Defined Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Oxidase positive, Catalase positive, Motile, Hydrogen utilizer","Environmental organism, hydrogen-oxidizing bacterium, yellow pigment","20,25,30,37","6.5,7,7.5",Aerobe
Methylophilus methylotrophus,"Rod-shaped, gram negative, 0.5-1.0 μm, motile",Gram negative,Nutrient Agar or Mineral Methanol Medium,"Beef extract 0.3 g, Peptone 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g or Methanol 5.0 g, Ammonium sulfate 0.5 g, Phosphate buffer, Agar 1.5 g",Selective medium,Methanol minimal medium or selective agar,"Gram negative rod, Oxidase positive, Catalase positive, Motile, Methanol utilizer","Environmental organism, methylotrophic bacterium","20,25,30","6.5,7,7.5",Aerobe
